2026-08-30 23:20:57 | Starting Dual_D standalone training
2026-08-30 23:20:57 | Run directory: runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_classification_feedback_黑天_20260830_232057
2026-08-30 23:20:57 | Device: cuda
2026-08-30 23:20:57 | Source train samples: 992
2026-08-30 23:20:57 | Target train samples: 465
2026-08-30 23:20:57 | Target val samples: 120
2026-08-30 23:20:57 | Classes: 14
2026-08-30 23:20:57 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=578/0
2026-08-30 23:20:57 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-30 23:20:57 | target_train classes: present 8/14 | absent 6 | counts [0:100, 2:11, 3:16, 6:89, 9:162, 10:12, 11:44, 13:31]
2026-08-30 23:20:57 | target_val classes: present 8/14 | absent 6 | counts [0:26, 2:3, 3:5, 6:23, 9:41, 10:3, 11:11, 13:8]
2026-08-30 23:20:57 | Paired training classes: 8/14 | class ids [0, 2, 3, 6, 9, 10, 11, 13]
2026-08-30 23:20:57 | Runtime profile: batch=16 | paired_steps=30 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=40 | early_stop=15 after min_epoch=55
2026-08-30 23:20:57 | Augmentation profile: base=0.600 | visible=0.600 | infrared=0.550 | freeze_frozen_batch_norm_stats=True
2026-08-30 23:20:57 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/0 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-30 23:20:58 | Effective Dual-D loss weights: {"adv_auxiliary": 0.025, "adv_primary": 0.025, "classification": 0.0, "contrastive": 0.055, "cycle": 0.12, "identity": 0.025, "prototype_contrastive": 0.025}
2026-08-30 23:20:58 | Model parameters: total=17277714 | trainable=17120210
2026-08-30 23:21:03 | Epoch 001/060 | loss 4.9156 | cls 4.8761 | tal 0.1315 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2104 | train_full 0.2000 | val_acc 0.2333 | val_f1 0.2219 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 29.249/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 3.5/0.4/0.4/0.7s | 5.0s
2026-08-30 23:21:06 | Epoch 002/060 | loss 3.5940 | cls 3.5676 | tal 0.0880 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.4354 | train_full n/a | val_acc 0.3500 | val_f1 0.3889 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 23.036/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.4/0.0/0.0s | 2.9s
2026-08-30 23:21:09 | Epoch 003/060 | loss 2.9634 | cls 2.9375 | tal 0.0863 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.5708 | train_full n/a | val_acc 0.6417 | val_f1 0.6068 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 20.843/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
2026-08-30 23:21:12 | Epoch 004/060 | loss 2.4843 | cls 2.4568 | tal 0.0915 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.6813 | train_full n/a | val_acc 0.7333 | val_f1 0.7047 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 18.997/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.4/0.0/0.0s | 2.9s
2026-08-30 23:21:16 | Epoch 005/060 | loss 2.2672 | cls 2.2381 | tal 0.0971 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.7208 | train_full 0.8043 | val_acc 0.8000 | val_f1 0.7839 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 18.300/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.4/0.4/0.7s | 4.0s
2026-08-30 23:21:19 | Epoch 006/060 | loss 2.0384 | cls 1.9984 | tal 0.0887 | dual_g 0.0134 | dual_d 0.0000 | train_acc 0.7625 | train_full n/a | val_acc 0.8167 | val_f1 0.7764 | adv/moduleC 0.00/0.08 | disc_steps 0 | grad(main/disc) 17.547/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.4/0.0/0.0s | 3.0s
2026-08-30 23:21:22 | Epoch 007/060 | loss 1.9365 | cls 1.8861 | tal 0.0882 | dual_g 0.0239 | dual_d 0.0000 | train_acc 0.8208 | train_full n/a | val_acc 0.8167 | val_f1 0.7848 | adv/moduleC 0.00/0.17 | disc_steps 0 | grad(main/disc) 15.740/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
2026-08-30 23:21:25 | Epoch 008/060 | loss 1.7907 | cls 1.7499 | tal 0.0214 | dual_g 0.0344 | dual_d 0.9345 | train_acc 0.8396 | train_full n/a | val_acc 0.8667 | val_f1 0.8032 | adv/moduleC 0.05/0.25 | disc_steps 15 | grad(main/disc) 15.284/2.204 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
2026-08-30 23:21:28 | Epoch 009/060 | loss 1.6402 | cls 1.6004 | tal -0.0084 | dual_g 0.0423 | dual_d 0.9336 | train_acc 0.8875 | train_full n/a | val_acc 0.8917 | val_f1 0.8368 | adv/moduleC 0.10/0.33 | disc_steps 15 | grad(main/disc) 13.047/2.110 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
2026-08-30 23:21:32 | Epoch 010/060 | loss 1.6874 | cls 1.6250 | tal 0.0345 | dual_g 0.0520 | dual_d 0.9867 | train_acc 0.8875 | train_full 0.9591 | val_acc 0.9083 | val_f1 0.8457 | adv/moduleC 0.15/0.42 | disc_steps 15 | grad(main/disc) 14.370/2.166 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.8/0.4/0.4/0.7s | 4.4s
2026-08-30 23:21:35 | Epoch 011/060 | loss 1.5443 | cls 1.4927 | tal -0.0231 | dual_g 0.0586 | dual_d 1.0070 | train_acc 0.9250 | train_full n/a | val_acc 0.9000 | val_f1 0.8504 | adv/moduleC 0.20/0.50 | disc_steps 15 | grad(main/disc) 12.005/2.098 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 3.0/0.4/0.0/0.0s | 3.4s
