run,variant,domain,iteration,seed,target_raw_silhouette,target_translated_silhouette,target_silhouette_gain,source_target_raw_class_centroid_distance,source_target_translated_class_centroid_distance,class_centroid_alignment_gain,source_target_raw_coral,source_target_translated_coral,coral_alignment_gain,source_target_raw_prototype_diagonal,source_target_translated_prototype_diagonal,prototype_diagonal_gain,source_target_raw_prototype_margin,source_target_translated_prototype_margin,prototype_margin_gain,source_target_raw_prototype_top1,source_target_translated_prototype_top1,prototype_top1_gain,source_cycle_cosine_error,target_cycle_cosine_error,cycle_cosine_error,source_identity_cosine_error,target_identity_cosine_error,identity_cosine_error
module_c_full_逆光_20260830_203641/metrics_iter01,full,逆光,1,45,0.3533522602456903,0.35636553543002425,0.0030132751843339745,0.7565158721473482,0.7456658656398455,0.010850006507502674,0.0021227350980653585,0.0022114416168052546,-8.870651873989612e-05,0.24348412454128265,0.25433412194252014,0.010849997401237488,0.09763350337743759,0.1086907610297203,0.011057257652282715,0.8888888888888888,0.8888888888888888,0.0,0.024337846546326633,0.02427666893918074,0.024307257742753687,0.02079504979857024,0.02266608913412638,0.021730569466348312
module_c_full_逆光_20260830_203641/metrics_iter02,full,逆光,2,46,0.3548191601933353,0.3757681226266216,0.02094896243328631,0.7336136847734451,0.7162881029976739,0.01732558177577126,0.002391174651307312,0.0024721805017972826,-8.100585048997043e-05,0.26638633012771606,0.28371191024780273,0.01732558012008667,0.10178107023239136,0.11672084778547287,0.014939777553081512,0.8888888888888888,0.8888888888888888,0.0,0.022599244015770847,0.029742626274161767,0.02617093514496631,0.021098041153433427,0.0275686494087894,0.02433334528111141
module_c_full_逆光_20260830_203641/metrics_iter03,full,逆光,3,47,0.3946591948654179,0.41138041095178757,0.016721216086369672,0.6738567252953848,0.6514226314094331,0.022434093885951634,0.002705556811052616,0.002734272964006651,-2.8716152954034666e-05,0.3261432647705078,0.3485773503780365,0.022434085607528687,0.11923179030418396,0.14034654200077057,0.02111475169658661,1.0,1.0,0.0,0.02297803883291266,0.025599624625858717,0.024288831729385688,0.020355866163990023,0.025403602007990328,0.022879734085990176
module_c_full_雨天_20260830_203641/metrics_iter01,full,雨天,1,51,0.5580600826733262,0.573835250540093,0.015775167866766804,0.8265877415736517,0.8043791477878889,0.022208593785762787,0.005234831310827122,0.005412878560811291,-0.00017804724998416854,0.1734122633934021,0.19562087953090668,0.022208616137504578,0.052747756242752075,0.04965684935450554,-0.0030909068882465363,0.8333333333333334,0.8333333333333334,0.0,0.03312582153868318,0.05250361479892101,0.0428147181688021,0.021370451139944006,0.036558762030723134,0.02896460658533357
module_c_full_雨天_20260830_203641/metrics_iter02,full,雨天,2,52,0.5848381753451044,0.6003872901514516,0.015549114806347242,0.850425419708093,0.8442131951451302,0.006212224562962887,0.008304941355412427,0.00850388557224566,-0.00019894421683323317,0.14957459270954132,0.15578679740428925,0.006212204694747925,0.0425226204097271,0.054508525878190994,0.011985905468463898,0.6666666666666666,0.6666666666666666,0.0,0.028108493605730193,0.04812693724351106,0.03811771542462063,0.02168018367394681,0.03613637767202417,0.028908280672985488
module_c_full_雨天_20260830_203641/metrics_iter03,full,雨天,3,53,0.5712972996057105,0.5865022534770771,0.015204953871366556,0.8622755805651346,0.864393367121617,-0.002117786556482315,0.006789027684418713,0.006915316033918165,-0.00012628834949945152,0.1377243995666504,0.13560660183429718,-0.0021177977323532104,0.08469084650278091,0.08491719514131546,0.0002263486385345459,0.6666666666666666,0.6666666666666666,0.0,0.03672292017741871,0.05282465805449518,0.04477378911595695,0.021355557011409235,0.03392984292459167,0.02764269996800045
module_c_full_雾天_20260830_203641/metrics_iter01,full,雾天,1,48,0.292912598959184,0.30893933950746133,0.01602674054827735,0.7279636296961043,0.7043802622291777,0.023583367466926575,0.0009676990781176812,0.0009945278061002177,-2.6828727982536457e-05,0.2720363438129425,0.2956197261810303,0.02358338236808777,0.14862297475337982,0.1663510501384735,0.01772807538509369,1.0,1.0,0.0,0.026955562772762842,0.03879213169203587,0.032873847232399354,0.027936152097960788,0.037826090258595624,0.032881121178278204
module_c_full_雾天_20260830_203641/metrics_iter02,full,雾天,2,49,0.2919226549107743,0.31061949291410146,0.018696838003327165,0.6531223936213387,0.6179526216453977,0.035169771975941067,0.001598845691860792,0.0016367064185738283,-3.786072671303634e-05,0.34687766432762146,0.3820473849773407,0.03516972064971924,0.15926112234592438,0.18285007774829865,0.023588955402374268,1.0,1.0,0.0,0.02743160439793622,0.035169697394649126,0.03130065089629267,0.026737209998017403,0.033850002210811365,0.030293606104414384
module_c_full_雾天_20260830_203641/metrics_iter03,full,雾天,3,50,0.2955897088832619,0.31304244312060364,0.017452734237341727,0.6750937832726372,0.6509047746658325,0.02418900860680473,0.0010618643818037117,0.0010854909760897292,-2.362659428601743e-05,0.32490622997283936,0.3490952253341675,0.024188995361328125,0.16338245570659637,0.18879833817481995,0.025415882468223572,1.0,1.0,0.0,0.02238823610484116,0.03346658770182933,0.027927411903335246,0.0239951403982339,0.03107732578046318,0.02753623308934854
module_c_full_黑天_20260830_203641/metrics_iter01,full,黑天,1,42,0.5479893362766461,0.5723139247928598,0.024324588516213663,0.3908134587109089,0.39189887791872025,-0.0010854192078113556,0.0015542352742874666,0.0015549658393474051,-7.305650599385115e-07,0.609186589717865,0.6081010699272156,-0.001085519790649414,0.4311641454696655,0.4528599679470062,0.021695822477340698,1.0,1.0,0.0,0.01075024001729295,0.014698107920209627,0.01272417396875129,0.011434825331880316,0.017665930798340845,0.01455037806511058
module_c_full_黑天_20260830_203641/metrics_iter02,full,黑天,2,43,0.5172201671120058,0.5331119094091192,0.01589174229711343,0.43939657509326935,0.4254859536886215,0.013910621404647827,0.001462214677271359,0.001514001603428303,-5.178692615694395e-05,0.5606033802032471,0.5745140314102173,0.013910651206970215,0.38820701837539673,0.4126082956790924,0.02440127730369568,1.0,1.0,0.0,0.012380589631750165,0.012495927278540434,0.0124382584551453,0.011762813311606496,0.014058327841203715,0.012910570576405106
module_c_full_黑天_20260830_203641/metrics_iter03,full,黑天,3,44,0.5801768279544594,0.6036336601068654,0.023456832152406015,0.3611272871494293,0.35672710835933685,0.004400178790092468,0.0014669453630906436,0.0014690454708828089,-2.100107792165273e-06,0.6388727426528931,0.643272876739502,0.004400134086608887,0.42531874775886536,0.44387105107307434,0.018552303314208984,1.0,1.0,0.0,0.009166209132366048,0.012829503318588658,0.010997856225477352,0.01170872741120193,0.01780324634133692,0.014755986876269424
module_c_no_classification_feedback_逆光_20260830_232057/metrics_iter01,no_classification_feedback,逆光,1,45,0.2944034322863468,0.2893016022478687,-0.0051018300384780835,0.769653856754303,0.7379979110426373,0.031655945711665634,0.002154575510680063,0.002077471349490631,7.710416118943218e-05,0.23034614324569702,0.2620021104812622,0.031655967235565186,0.07623415440320969,0.09131123870611191,0.015077084302902222,0.8888888888888888,1.0,0.11111111111111116,0.006627386500210417,0.007497066955674287,0.007062226727942352,0.03931686340208588,0.03805679747621057,0.03868683043914822
module_c_no_classification_feedback_逆光_20260830_232057/metrics_iter02,no_classification_feedback,逆光,2,46,0.3073932332662321,0.31394401257387605,0.006550779307643972,0.7916729710996151,0.7366383439964719,0.05503462710314322,0.0025637039151010883,0.0024956481083490455,6.80558067520428e-05,0.20832699537277222,0.2633616328239441,0.055034637451171875,0.05276297777891159,0.07458467781543732,0.021821700036525726,0.6666666666666666,0.8888888888888888,0.2222222222222222,0.00615768352753103,0.0078039042294004175,0.006980793878465724,0.041926617141082326,0.0396044640247709,0.04076554058292661
