2026-08-30 20:31:37 | Starting Dual_D standalone training
2026-08-30 20:31:37 | Run directory: runs/module_c_v13_backlight_full_gate/module_c_20260830_202800/module_c_full_逆光_20260830_202801
2026-08-30 20:31:37 | Device: cuda
2026-08-30 20:31:37 | Source train samples: 992
2026-08-30 20:31:37 | Target train samples: 132
2026-08-30 20:31:37 | Target val samples: 37
2026-08-30 20:31:37 | Classes: 14
2026-08-30 20:31:37 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=157/0
2026-08-30 20:31:37 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-30 20:31:37 | target_train classes: present 9/14 | absent 5 | counts [0:20, 2:12, 4:12, 5:2, 9:16, 10:16, 11:29, 12:4, 13:21]
2026-08-30 20:31:37 | target_val classes: present 9/14 | absent 5 | counts [0:6, 2:3, 4:4, 5:1, 9:4, 10:4, 11:8, 12:1, 13:6]
2026-08-30 20:31:37 | Paired training classes: 9/14 | class ids [0, 2, 4, 5, 9, 10, 11, 12, 13]
2026-08-30 20:31:37 | Runtime profile: batch=16 | paired_steps=9 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=5 | lr_scheduler_start=28 | checkpoint_select_from=45 | early_stop=15 after min_epoch=55
2026-08-30 20:31:37 | Augmentation profile: base=0.780 | visible=0.860 | infrared=0.600 | freeze_frozen_batch_norm_stats=True
2026-08-30 20:31:37 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/1 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-30 20:31:38 | Effective Dual-D loss weights: {"adv_auxiliary": 0.025, "adv_primary": 0.025, "classification": 0.15, "contrastive": 0.02, "cycle": 0.12, "identity": 0.03, "prototype_contrastive": 0.06}
2026-08-30 20:31:38 | Model parameters: total=17277714 | trainable=17120210
2026-08-30 20:31:40 | Epoch 001/060 | loss 5.8532 | cls 5.8325 | tal 0.0691 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.0556 | train_full 0.1136 | val_acc 0.2432 | val_f1 0.0852 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 30.124/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 1.4/0.4/0.4/0.4s | 2.5s
2026-08-30 20:31:42 | Epoch 002/060 | loss 5.0806 | cls 5.0881 | tal -0.0249 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1389 | train_full n/a | val_acc 0.2162 | val_f1 0.1246 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 27.200/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
2026-08-30 20:31:43 | Epoch 003/060 | loss 4.7360 | cls 4.7193 | tal 0.0558 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1389 | train_full n/a | val_acc 0.4054 | val_f1 0.3243 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.836/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.5s
2026-08-30 20:31:45 | Epoch 004/060 | loss 4.5337 | cls 4.5164 | tal 0.0577 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2569 | train_full n/a | val_acc 0.4865 | val_f1 0.4533 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 24.127/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
2026-08-30 20:31:47 | Epoch 005/060 | loss 4.5026 | cls 4.4576 | tal 0.1500 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2986 | train_full 0.5076 | val_acc 0.4865 | val_f1 0.4241 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 23.219/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 1.2/0.4/0.4/0.4s | 2.3s
2026-08-30 20:31:49 | Epoch 006/060 | loss 4.1687 | cls 4.0869 | tal 0.2727 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3194 | train_full n/a | val_acc 0.5135 | val_f1 0.4720 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 22.515/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
2026-08-30 20:31:50 | Epoch 007/060 | loss 3.9317 | cls 3.8677 | tal 0.2134 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3333 | train_full n/a | val_acc 0.7027 | val_f1 0.6708 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 21.238/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.4s
2026-08-30 20:31:52 | Epoch 008/060 | loss 3.8911 | cls 3.8499 | tal 0.1375 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3542 | train_full n/a | val_acc 0.7838 | val_f1 0.8023 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 21.852/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.6s
2026-08-30 20:31:53 | Epoch 009/060 | loss 3.5509 | cls 3.4631 | tal 0.1395 | dual_g 0.0460 | dual_d 0.0000 | train_acc 0.4167 | train_full n/a | val_acc 0.7568 | val_f1 0.7455 | adv/moduleC 0.00/0.06 | disc_steps 0 | grad(main/disc) 20.696/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
2026-08-30 20:31:55 | Epoch 010/060 | loss 3.5058 | cls 3.3890 | tal 0.0799 | dual_g 0.0928 | dual_d 0.0000 | train_acc 0.4792 | train_full 0.7727 | val_acc 0.7568 | val_f1 0.7508 | adv/moduleC 0.00/0.11 | disc_steps 0 | grad(main/disc) 20.304/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 1.0/0.4/0.4/0.4s | 2.2s
2026-08-30 20:31:56 | Epoch 011/060 | loss 3.7061 | cls 3.5637 | tal 0.0106 | dual_g 0.1392 | dual_d 0.9096 | train_acc 0.4931 | train_full n/a | val_acc 0.7838 | val_f1 0.7778 | adv/moduleC 0.04/0.17 | disc_steps 4 | grad(main/disc) 21.225/2.234 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
