2026-08-30 23:57:00 | Starting Dual_D standalone training
2026-08-30 23:57:00 | Run directory: runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_module_c_黑天_20260830_235352
2026-08-30 23:57:00 | Device: cuda
2026-08-30 23:57:00 | Source train samples: 992
2026-08-30 23:57:00 | Target train samples: 465
2026-08-30 23:57:00 | Target val samples: 120
2026-08-30 23:57:00 | Classes: 14
2026-08-30 23:57:00 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=578/0
2026-08-30 23:57:00 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-30 23:57:00 | target_train classes: present 8/14 | absent 6 | counts [0:100, 2:11, 3:16, 6:89, 9:162, 10:12, 11:44, 13:31]
2026-08-30 23:57:00 | target_val classes: present 8/14 | absent 6 | counts [0:26, 2:3, 3:5, 6:23, 9:41, 10:3, 11:11, 13:8]
2026-08-30 23:57:00 | Paired training classes: 8/14 | class ids [0, 2, 3, 6, 9, 10, 11, 13]
2026-08-30 23:57:00 | Runtime profile: batch=16 | paired_steps=30 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=40 | early_stop=15 after min_epoch=55
2026-08-30 23:57:00 | Augmentation profile: base=0.600 | visible=0.600 | infrared=0.550 | freeze_frozen_batch_norm_stats=True
2026-08-30 23:57:00 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/0 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-30 23:57:01 | Effective Dual-D loss weights: {"adv_auxiliary": 0.025, "adv_primary": 0.025, "classification": 0.0, "contrastive": 0.0, "cycle": 0.0, "identity": 0.0, "prototype_contrastive": 0.0}
2026-08-30 23:57:01 | Model parameters: total=17277714 | trainable=17120210
2026-08-30 23:57:06 | Epoch 001/060 | loss 4.9391 | cls 4.9129 | tal 0.0871 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1854 | train_full 0.1656 | val_acc 0.1667 | val_f1 0.1544 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 28.136/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 3.2/0.4/0.4/0.7s | 4.8s
2026-08-30 23:57:09 | Epoch 002/060 | loss 3.5254 | cls 3.5796 | tal -0.1809 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3396 | train_full n/a | val_acc 0.3083 | val_f1 0.3809 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 22.229/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.4/0.0/0.0s | 2.9s
2026-08-30 23:57:12 | Epoch 003/060 | loss 3.0653 | cls 3.0850 | tal -0.0657 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.4979 | train_full n/a | val_acc 0.4500 | val_f1 0.5131 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 21.166/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.4/0.0/0.0s | 3.0s
2026-08-30 23:57:15 | Epoch 004/060 | loss 2.5954 | cls 2.6113 | tal -0.0530 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.6333 | train_full n/a | val_acc 0.7000 | val_f1 0.6580 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 19.621/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.4/0.0/0.0s | 2.9s
2026-08-30 23:57:19 | Epoch 005/060 | loss 2.2127 | cls 2.2287 | tal -0.0531 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.7125 | train_full 0.6559 | val_acc 0.6417 | val_f1 0.6825 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 17.652/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.4/0.7s | 4.2s
2026-08-30 23:57:22 | Epoch 006/060 | loss 1.9741 | cls 1.9853 | tal -0.0372 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.8146 | train_full n/a | val_acc 0.7667 | val_f1 0.7400 | adv/moduleC 0.00/0.08 | disc_steps 0 | grad(main/disc) 15.784/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.4/0.0/0.0s | 2.9s
2026-08-30 23:57:25 | Epoch 007/060 | loss 1.8709 | cls 1.8726 | tal -0.0055 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.8229 | train_full n/a | val_acc 0.7917 | val_f1 0.7587 | adv/moduleC 0.00/0.17 | disc_steps 0 | grad(main/disc) 15.835/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.4/0.0/0.0s | 2.9s
2026-08-30 23:57:28 | Epoch 008/060 | loss 1.7849 | cls 1.7981 | tal -0.0478 | dual_g 0.0012 | dual_d 1.0417 | train_acc 0.8667 | train_full n/a | val_acc 0.8667 | val_f1 0.8251 | adv/moduleC 0.05/0.25 | disc_steps 15 | grad(main/disc) 15.257/2.217 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.8/0.4/0.0/0.0s | 3.2s
2026-08-30 23:57:31 | Epoch 009/060 | loss 1.6540 | cls 1.6677 | tal -0.0512 | dual_g 0.0017 | dual_d 1.2301 | train_acc 0.8833 | train_full n/a | val_acc 0.8167 | val_f1 0.7962 | adv/moduleC 0.10/0.33 | disc_steps 15 | grad(main/disc) 14.148/2.302 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.0/0.0s | 3.2s
2026-08-30 23:57:36 | Epoch 010/060 | loss 1.5587 | cls 1.5563 | tal 0.0011 | dual_g 0.0021 | dual_d 1.2694 | train_acc 0.9167 | train_full 0.9290 | val_acc 0.8750 | val_f1 0.8413 | adv/moduleC 0.15/0.42 | disc_steps 15 | grad(main/disc) 12.882/2.215 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.4/0.7s | 4.2s
2026-08-30 23:57:39 | Epoch 011/060 | loss 1.5019 | cls 1.4845 | tal 0.0501 | dual_g 0.0024 | dual_d 1.3462 | train_acc 0.9229 | train_full n/a | val_acc 0.9083 | val_f1 0.8811 | adv/moduleC 0.20/0.50 | disc_steps 15 | grad(main/disc) 10.818/2.268 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.0/0.0s | 3.1s
