2026-08-30 21:05:41 | Starting Dual_D standalone training
2026-08-30 21:05:41 | Run directory: runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_full_雨天_20260830_203641
2026-08-30 21:05:41 | Device: cuda
2026-08-30 21:05:41 | Source train samples: 992
2026-08-30 21:05:41 | Target train samples: 96
2026-08-30 21:05:41 | Target val samples: 26
2026-08-30 21:05:41 | Classes: 14
2026-08-30 21:05:41 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=117/0
2026-08-30 21:05:41 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-30 21:05:41 | target_train classes: present 6/14 | absent 8 | counts [0:7, 2:19, 9:32, 10:12, 11:6, 13:20]
2026-08-30 21:05:41 | target_val classes: present 6/14 | absent 8 | counts [0:2, 2:5, 9:8, 10:4, 11:2, 13:5]
2026-08-30 21:05:41 | Paired training classes: 6/14 | class ids [0, 2, 9, 10, 11, 13]
2026-08-30 21:05:41 | Runtime profile: batch=16 | paired_steps=6 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=40 | early_stop=15 after min_epoch=50
2026-08-30 21:05:41 | Augmentation profile: base=0.650 | visible=0.700 | infrared=0.500 | freeze_frozen_batch_norm_stats=True
2026-08-30 21:05:41 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/0 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-30 21:05:42 | Effective Dual-D loss weights: {"adv_auxiliary": 0.02, "adv_primary": 0.02, "classification": 0.6, "contrastive": 0.025, "cycle": 0.12, "identity": 0.025, "prototype_contrastive": 0.015}
2026-08-30 21:05:42 | Model parameters: total=17277714 | trainable=17120210
2026-08-30 21:05:44 | Epoch 001/060 | loss 5.4527 | cls 5.4484 | tal 0.0142 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1354 | train_full 0.3021 | val_acc 0.1538 | val_f1 0.0606 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 34.372/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 1.0/0.3/0.3/0.4s | 2.0s
2026-08-30 21:05:45 | Epoch 002/060 | loss 4.8754 | cls 4.8379 | tal 0.1250 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2500 | train_full n/a | val_acc 0.1538 | val_f1 0.1349 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 29.452/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.3/0.0/0.0s | 1.1s
2026-08-30 21:05:46 | Epoch 003/060 | loss 4.5829 | cls 4.5251 | tal 0.1926 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2708 | train_full n/a | val_acc 0.2692 | val_f1 0.2797 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 26.725/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.3/0.0/0.0s | 1.1s
2026-08-30 21:05:47 | Epoch 004/060 | loss 4.0072 | cls 3.9518 | tal 0.1845 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3750 | train_full n/a | val_acc 0.2308 | val_f1 0.1810 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.015/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.7/0.3/0.0/0.0s | 1.0s
2026-08-30 21:05:49 | Epoch 005/060 | loss 3.7555 | cls 3.7167 | tal 0.1295 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.4896 | train_full 0.3438 | val_acc 0.4615 | val_f1 0.4722 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 23.764/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.3/0.3/0.4s | 1.8s
2026-08-30 21:05:50 | Epoch 006/060 | loss 3.7586 | cls 3.5123 | tal 0.1102 | dual_g 0.2132 | dual_d 0.0000 | train_acc 0.4271 | train_full n/a | val_acc 0.4615 | val_f1 0.4656 | adv/moduleC 0.00/0.08 | disc_steps 0 | grad(main/disc) 22.500/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.9/0.3/0.0/0.0s | 1.2s
2026-08-30 21:05:52 | Epoch 007/060 | loss 4.0260 | cls 3.5434 | tal 0.2641 | dual_g 0.4034 | dual_d 0.0000 | train_acc 0.4688 | train_full n/a | val_acc 0.4615 | val_f1 0.4444 | adv/moduleC 0.00/0.17 | disc_steps 0 | grad(main/disc) 22.616/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.8/0.3/0.0/0.0s | 1.1s
2026-08-30 21:05:53 | Epoch 008/060 | loss 3.8933 | cls 3.2650 | tal 0.2125 | dual_g 0.5646 | dual_d 0.0000 | train_acc 0.5521 | train_full n/a | val_acc 0.5000 | val_f1 0.5266 | adv/moduleC 0.00/0.25 | disc_steps 0 | grad(main/disc) 22.209/0.000 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.08/29.15GB | phase(train/val/raw/train_eval) 0.9/0.3/0.0/0.0s | 1.3s
2026-08-30 21:05:54 | Epoch 009/060 | loss 4.0871 | cls 3.2793 | tal 0.2435 | dual_g 0.7347 | dual_d 0.9928 | train_acc 0.5729 | train_full n/a | val_acc 0.6923 | val_f1 0.7751 | adv/moduleC 0.05/0.33 | disc_steps 3 | grad(main/disc) 22.579/2.292 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.8/0.3/0.0/0.0s | 1.1s
2026-08-30 21:05:56 | Epoch 010/060 | loss 4.1256 | cls 3.1973 | tal 0.1749 | dual_g 0.8759 | dual_d 0.9454 | train_acc 0.5625 | train_full 0.6042 | val_acc 0.6538 | val_f1 0.6394 | adv/moduleC 0.10/0.42 | disc_steps 3 | grad(main/disc) 22.097/2.288 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.3/0.3/0.4s | 1.9s
2026-08-30 21:05:57 | Epoch 011/060 | loss 4.0531 | cls 3.0072 | tal 0.1409 | dual_g 1.0037 | dual_d 0.9355 | train_acc 0.6458 | train_full n/a | val_acc 0.4615 | val_f1 0.4461 | adv/moduleC 0.15/0.50 | disc_steps 3 | grad(main/disc) 21.709/2.343 | lr(main/disc) 7.00e-05/2.40e-05 | cuda_peak(alloc/resv) 4.09/29.15GB | phase(train/val/raw/train_eval) 0.9/0.3/0.0/0.0s | 1.2s
