2026-08-30 22:30:00 | Starting Dual_D standalone training
2026-08-30 22:30:00 | Run directory: runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_paired_contrastive_雾天_20260830_221433
2026-08-30 22:30:00 | Device: cuda
2026-08-30 22:30:00 | Source train samples: 992
2026-08-30 22:30:00 | Target train samples: 507
2026-08-30 22:30:00 | Target val samples: 132
2026-08-30 22:30:00 | Classes: 14
2026-08-30 22:30:00 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=630/0
2026-08-30 22:30:00 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-30 22:30:00 | target_train classes: present 9/14 | absent 5 | counts [0:35, 1:18, 2:119, 6:110, 8:25, 9:50, 10:48, 12:9, 13:93]
2026-08-30 22:30:00 | target_val classes: present 9/14 | absent 5 | counts [0:9, 1:5, 2:30, 6:28, 8:7, 9:13, 10:13, 12:3, 13:24]
2026-08-30 22:30:00 | Paired training classes: 9/14 | class ids [0, 1, 2, 6, 8, 9, 10, 12, 13]
2026-08-30 22:30:00 | Runtime profile: batch=92 | paired_steps=6 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=45 | early_stop=15 after min_epoch=55
2026-08-30 22:30:00 | Augmentation profile: base=0.720 | visible=0.720 | infrared=0.720 | freeze_frozen_batch_norm_stats=True
2026-08-30 22:30:00 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/2 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-30 22:30:01 | Effective Dual-D loss weights: {"adv_auxiliary": 0.035, "adv_primary": 0.035, "classification": 0.5, "contrastive": 0.0, "cycle": 0.32, "identity": 0.05, "prototype_contrastive": 0.06}
2026-08-30 22:30:01 | Model parameters: total=17277714 | trainable=17120210
2026-08-30 22:30:07 | Epoch 001/060 | loss 5.3600 | cls 5.3660 | tal -0.0201 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.0924 | train_full 0.0966 | val_acc 0.1515 | val_f1 0.0878 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 14.681/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.77/29.14GB | phase(train/val/raw/train_eval) 3.8/0.6/0.6/0.9s | 5.9s
2026-08-30 22:30:10 | Epoch 002/060 | loss 4.5427 | cls 4.5318 | tal 0.0364 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1196 | train_full n/a | val_acc 0.1742 | val_f1 0.1086 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 12.162/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.14GB | phase(train/val/raw/train_eval) 3.0/0.6/0.0/0.0s | 3.6s
2026-08-30 22:30:14 | Epoch 003/060 | loss 4.1316 | cls 4.1392 | tal -0.0254 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1884 | train_full n/a | val_acc 0.2121 | val_f1 0.1400 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 10.608/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.14GB | phase(train/val/raw/train_eval) 3.1/0.6/0.0/0.0s | 3.7s
2026-08-30 22:30:18 | Epoch 004/060 | loss 3.9212 | cls 3.9291 | tal -0.0264 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2120 | train_full n/a | val_acc 0.3788 | val_f1 0.3402 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 9.974/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.14GB | phase(train/val/raw/train_eval) 3.2/0.6/0.0/0.0s | 3.8s
2026-08-30 22:30:23 | Epoch 005/060 | loss 3.6068 | cls 3.6312 | tal -0.0814 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2808 | train_full 0.4438 | val_acc 0.4015 | val_f1 0.3187 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 9.233/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.14GB | phase(train/val/raw/train_eval) 3.2/0.6/0.6/0.9s | 5.3s
2026-08-30 22:30:27 | Epoch 006/060 | loss 3.4655 | cls 3.4795 | tal -0.0464 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3043 | train_full n/a | val_acc 0.4091 | val_f1 0.3892 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 8.909/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.14GB | phase(train/val/raw/train_eval) 2.9/0.6/0.0/0.0s | 3.5s
2026-08-30 22:30:31 | Epoch 007/060 | loss 3.3604 | cls 3.3831 | tal -0.0755 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3116 | train_full n/a | val_acc 0.4773 | val_f1 0.4595 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 8.954/0.000 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.14GB | phase(train/val/raw/train_eval) 3.1/0.6/0.0/0.0s | 3.7s
2026-08-30 22:30:34 | Epoch 008/060 | loss 3.3664 | cls 3.2398 | tal -0.1270 | dual_g 0.1647 | dual_d 0.9991 | train_acc 0.3623 | train_full n/a | val_acc 0.5152 | val_f1 0.5762 | adv/moduleC 0.04/0.07 | disc_steps 3 | grad(main/disc) 8.739/1.975 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.3/0.6/0.0/0.0s | 3.9s
2026-08-30 22:30:38 | Epoch 009/060 | loss 3.3677 | cls 3.0850 | tal -0.1274 | dual_g 0.3209 | dual_d 0.9491 | train_acc 0.4094 | train_full n/a | val_acc 0.6061 | val_f1 0.6343 | adv/moduleC 0.08/0.14 | disc_steps 3 | grad(main/disc) 8.902/1.879 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.2/0.6/0.0/0.0s | 3.8s
2026-08-30 22:30:44 | Epoch 010/060 | loss 3.3982 | cls 2.9586 | tal -0.0861 | dual_g 0.4654 | dual_d 0.9378 | train_acc 0.4384 | train_full 0.6607 | val_acc 0.6515 | val_f1 0.6800 | adv/moduleC 0.12/0.21 | disc_steps 3 | grad(main/disc) 9.192/1.858 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.2/0.6/0.6/0.9s | 5.3s
2026-08-30 22:30:47 | Epoch 011/060 | loss 3.4362 | cls 2.8657 | tal -0.0831 | dual_g 0.5954 | dual_d 0.8866 | train_acc 0.4402 | train_full n/a | val_acc 0.6439 | val_f1 0.6627 | adv/moduleC 0.17/0.29 | disc_steps 3 | grad(main/disc) 9.751/1.776 | lr(main/disc) 6.00e-05/3.00e-05 | cuda_peak(alloc/resv) 21.78/29.15GB | phase(train/val/raw/train_eval) 3.0/0.6/0.0/0.0s | 3.6s
