2026-08-30 23:31:00 | Starting Dual_D standalone training
2026-08-30 23:31:00 | Run directory: runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_classification_feedback_逆光_20260830_232057
2026-08-30 23:31:00 | Device: cuda
2026-08-30 23:31:00 | Source train samples: 992
2026-08-30 23:31:00 | Target train samples: 132
2026-08-30 23:31:00 | Target val samples: 37
2026-08-30 23:31:00 | Classes: 14
2026-08-30 23:31:00 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=157/0
2026-08-30 23:31:00 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-30 23:31:00 | target_train classes: present 9/14 | absent 5 | counts [0:20, 2:12, 4:12, 5:2, 9:16, 10:16, 11:29, 12:4, 13:21]
2026-08-30 23:31:00 | target_val classes: present 9/14 | absent 5 | counts [0:6, 2:3, 4:4, 5:1, 9:4, 10:4, 11:8, 12:1, 13:6]
2026-08-30 23:31:00 | Paired training classes: 9/14 | class ids [0, 2, 4, 5, 9, 10, 11, 12, 13]
2026-08-30 23:31:00 | Runtime profile: batch=16 | paired_steps=9 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=5 | lr_scheduler_start=28 | checkpoint_select_from=45 | early_stop=15 after min_epoch=55
2026-08-30 23:31:00 | Augmentation profile: base=0.780 | visible=0.860 | infrared=0.600 | freeze_frozen_batch_norm_stats=True
2026-08-30 23:31:00 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/1 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-30 23:31:01 | Effective Dual-D loss weights: {"adv_auxiliary": 0.025, "adv_primary": 0.025, "classification": 0.0, "contrastive": 0.02, "cycle": 0.12, "identity": 0.03, "prototype_contrastive": 0.06}
2026-08-30 23:31:01 | Model parameters: total=17277714 | trainable=17120210
2026-08-30 23:31:04 | Epoch 001/060 | loss 6.0220 | cls 6.0875 | tal -0.2184 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.0417 | train_full 0.0076 | val_acc 0.0000 | val_f1 0.0000 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 32.924/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.4/0.5s | 2.6s
2026-08-30 23:31:05 | Epoch 002/060 | loss 5.3235 | cls 5.3846 | tal -0.2037 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1181 | train_full n/a | val_acc 0.1081 | val_f1 0.0897 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 29.093/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.2/0.4/0.0/0.0s | 1.6s
2026-08-30 23:31:07 | Epoch 003/060 | loss 4.8031 | cls 4.8525 | tal -0.1647 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.1597 | train_full n/a | val_acc 0.3514 | val_f1 0.2804 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 26.497/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
2026-08-30 23:31:08 | Epoch 004/060 | loss 4.6013 | cls 4.6552 | tal -0.1794 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2153 | train_full n/a | val_acc 0.2973 | val_f1 0.2191 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.706/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
2026-08-30 23:31:10 | Epoch 005/060 | loss 4.4488 | cls 4.4992 | tal -0.1682 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2222 | train_full 0.5000 | val_acc 0.4054 | val_f1 0.4555 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 25.453/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.4/0.5s | 2.4s
2026-08-30 23:31:12 | Epoch 006/060 | loss 4.2167 | cls 4.2574 | tal -0.1359 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3264 | train_full n/a | val_acc 0.4595 | val_f1 0.5247 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 23.789/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
2026-08-30 23:31:13 | Epoch 007/060 | loss 3.9562 | cls 4.0196 | tal -0.2113 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2847 | train_full n/a | val_acc 0.5135 | val_f1 0.5906 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 23.034/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
2026-08-30 23:31:15 | Epoch 008/060 | loss 3.8096 | cls 3.8482 | tal -0.1285 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.3681 | train_full n/a | val_acc 0.4865 | val_f1 0.5440 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 22.734/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.0/0.0s | 1.5s
2026-08-30 23:31:16 | Epoch 009/060 | loss 3.6575 | cls 3.7178 | tal -0.2404 | dual_g 0.0118 | dual_d 0.0000 | train_acc 0.3819 | train_full n/a | val_acc 0.5405 | val_f1 0.5778 | adv/moduleC 0.00/0.06 | disc_steps 0 | grad(main/disc) 21.810/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.0/0.4/0.0/0.0s | 1.4s
2026-08-30 23:31:19 | Epoch 010/060 | loss 3.5466 | cls 3.6026 | tal -0.2629 | dual_g 0.0228 | dual_d 0.0000 | train_acc 0.4097 | train_full 0.6667 | val_acc 0.6486 | val_f1 0.6679 | adv/moduleC 0.00/0.11 | disc_steps 0 | grad(main/disc) 22.325/0.000 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 1.1/0.4/0.4/0.5s | 2.4s
2026-08-30 23:31:20 | Epoch 011/060 | loss 3.5129 | cls 3.5323 | tal -0.1830 | dual_g 0.0355 | dual_d 0.8124 | train_acc 0.4444 | train_full n/a | val_acc 0.6486 | val_f1 0.6816 | adv/moduleC 0.04/0.17 | disc_steps 4 | grad(main/disc) 22.329/2.102 | lr(main/disc) 5.00e-05/2.00e-05 | cuda_peak(alloc/resv) 4.09/5.13GB | phase(train/val/raw/train_eval) 0.9/0.4/0.0/0.0s | 1.4s
