2026-08-30 22:14:33 | Starting Dual_D standalone training
2026-08-30 22:14:33 | Run directory: runs/module_c_v13_ablation_60/module_c_20260830_203640/module_c_no_paired_contrastive_黑天_20260830_221433
2026-08-30 22:14:33 | Device: cuda
2026-08-30 22:14:33 | Source train samples: 992
2026-08-30 22:14:33 | Target train samples: 465
2026-08-30 22:14:33 | Target val samples: 120
2026-08-30 22:14:33 | Classes: 14
2026-08-30 22:14:33 | Data audit: same_dir=False | path_overlap(vis/ir/ais)=0/0/0 | content_overlap(vis/ir/ais)=0/0/0 | ais_index_overlap=0 | stem_mismatch(vis-ir/vis-ais)=578/0
2026-08-30 22:14:33 | source_train classes: present 14/14 | absent 0 | counts [0:120, 1:44, 2:69, 3:45, 4:40, 5:30, 6:64, 7:80, 8:116, 9:68, 10:57, 11:83, 12:48, 13:128]
2026-08-30 22:14:33 | target_train classes: present 8/14 | absent 6 | counts [0:100, 2:11, 3:16, 6:89, 9:162, 10:12, 11:44, 13:31]
2026-08-30 22:14:33 | target_val classes: present 8/14 | absent 6 | counts [0:26, 2:3, 3:5, 6:23, 9:41, 10:3, 11:11, 13:8]
2026-08-30 22:14:33 | Paired training classes: 8/14 | class ids [0, 2, 3, 6, 9, 10, 11, 13]
2026-08-30 22:14:33 | Runtime profile: batch=16 | paired_steps=30 | workers=16 | train_eval_every=5 | raw_eval_every=5 | stability_window=4 | lr_scheduler_start=28 | checkpoint_select_from=40 | early_stop=15 after min_epoch=55
2026-08-30 22:14:33 | Augmentation profile: base=0.600 | visible=0.600 | infrared=0.550 | freeze_frozen_batch_norm_stats=True
2026-08-30 22:14:33 | VIS/IR pairing: class-level-unpaired | count-mismatch classes train/val: 10/0 | AIS alignment: none | AIS rows train/val: 0/0
2026-08-30 22:14:34 | Effective Dual-D loss weights: {"adv_auxiliary": 0.025, "adv_primary": 0.025, "classification": 0.65, "contrastive": 0.0, "cycle": 0.12, "identity": 0.025, "prototype_contrastive": 0.025}
2026-08-30 22:14:34 | Model parameters: total=17277714 | trainable=17120210
2026-08-30 22:14:39 | Epoch 001/060 | loss 4.9156 | cls 4.8761 | tal 0.1315 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.2104 | train_full 0.2000 | val_acc 0.2333 | val_f1 0.2219 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 29.249/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 3.6/0.4/0.4/0.7s | 5.1s
2026-08-30 22:14:42 | Epoch 002/060 | loss 3.5940 | cls 3.5676 | tal 0.0880 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.4354 | train_full n/a | val_acc 0.3500 | val_f1 0.3889 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 23.036/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.0/0.0s | 3.1s
2026-08-30 22:14:45 | Epoch 003/060 | loss 2.9634 | cls 2.9375 | tal 0.0863 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.5708 | train_full n/a | val_acc 0.6417 | val_f1 0.6068 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 20.843/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
2026-08-30 22:14:48 | Epoch 004/060 | loss 2.4843 | cls 2.4568 | tal 0.0915 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.6813 | train_full n/a | val_acc 0.7333 | val_f1 0.7047 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 18.997/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.4/0.0/0.0s | 2.9s
2026-08-30 22:14:52 | Epoch 005/060 | loss 2.2672 | cls 2.2381 | tal 0.0971 | dual_g 0.0000 | dual_d 0.0000 | train_acc 0.7208 | train_full 0.8043 | val_acc 0.8000 | val_f1 0.7839 | adv/moduleC 0.00/0.00 | disc_steps 0 | grad(main/disc) 18.300/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.4/0.4/0.7s | 4.0s
2026-08-30 22:14:55 | Epoch 006/060 | loss 2.1560 | cls 1.9998 | tal 0.0793 | dual_g 0.1324 | dual_d 0.0000 | train_acc 0.7688 | train_full n/a | val_acc 0.7833 | val_f1 0.7564 | adv/moduleC 0.00/0.08 | disc_steps 0 | grad(main/disc) 17.813/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.1s
2026-08-30 22:14:58 | Epoch 007/060 | loss 2.1374 | cls 1.8740 | tal 0.0806 | dual_g 0.2392 | dual_d 0.0000 | train_acc 0.8271 | train_full n/a | val_acc 0.8000 | val_f1 0.7768 | adv/moduleC 0.00/0.17 | disc_steps 0 | grad(main/disc) 16.044/0.000 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.5/0.4/0.0/0.0s | 2.9s
2026-08-30 22:15:01 | Epoch 008/060 | loss 2.0738 | cls 1.7247 | tal 0.0355 | dual_g 0.3385 | dual_d 0.9126 | train_acc 0.8333 | train_full n/a | val_acc 0.8333 | val_f1 0.7895 | adv/moduleC 0.05/0.25 | disc_steps 15 | grad(main/disc) 15.582/2.213 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
2026-08-30 22:15:04 | Epoch 009/060 | loss 2.0044 | cls 1.5859 | tal 0.0141 | dual_g 0.4143 | dual_d 0.8359 | train_acc 0.9000 | train_full n/a | val_acc 0.8833 | val_f1 0.8386 | adv/moduleC 0.10/0.33 | disc_steps 15 | grad(main/disc) 13.956/2.006 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.6/0.4/0.0/0.0s | 3.0s
2026-08-30 22:15:08 | Epoch 010/060 | loss 2.1085 | cls 1.5909 | tal 0.0243 | dual_g 0.5103 | dual_d 0.8160 | train_acc 0.8875 | train_full 0.9613 | val_acc 0.9167 | val_f1 0.8650 | adv/moduleC 0.15/0.42 | disc_steps 15 | grad(main/disc) 15.366/1.980 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 2.7/0.4/0.4/0.7s | 4.2s
2026-08-30 22:15:11 | Epoch 011/060 | loss 2.0295 | cls 1.4680 | tal -0.0166 | dual_g 0.5665 | dual_d 0.7958 | train_acc 0.9313 | train_full n/a | val_acc 0.9250 | val_f1 0.8859 | adv/moduleC 0.20/0.50 | disc_steps 15 | grad(main/disc) 12.913/1.896 | lr(main/disc) 8.00e-05/2.80e-05 | cuda_peak(alloc/resv) 4.09/5.12GB | phase(train/val/raw/train_eval) 3.0/0.4/0.0/0.0s | 3.4s
